Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0413,-0.0494,-0.0531,-0.0522,-0.0583,-0.0527,-0.0521,-0.0512,-0.0537,-0.0492,-0.0479,-0.0523,-0.0503,-0.0498,-0.0504,-0.0483,-0.0466,-0.0511,-0.0502,-0.0554,-0.0586,-0.0596,-0.0573,-0.0552,-0.0565,-0.0569,-0.0604,-0.0623,-0.0621,-0.0616,-0.0586
1,-0.0176,0.0343,0.002,-0.0067,-0.0056,-0.0153,-0.0124,-0.0153,-0.0246,-0.0241,-0.0296,-0.0338,-0.0383,-0.0317,-0.0395,-0.0369,-0.0396,-0.0318,-0.043,-0.0454,-0.046,-0.0456,-0.0451,-0.0469,-0.054000000000000006,-0.0504,-0.0421,-0.0446,-0.0501,-0.0493,-0.0471
2,-0.0341,-0.045,-0.0534,-0.0539,-0.0542,-0.0628,-0.0729,-0.0787,-0.0725,-0.076,-0.084,-0.0743,-0.08199999999999999,-0.0959,-0.0924,-0.0852,-0.0894,-0.0975,-0.1057,-0.1048,-0.0988,-0.0962,-0.1073,-0.1029,-0.0906,-0.0964,-0.0924,-0.0906,-0.0776,-0.0863,-0.0958
3,0.0347,0.0336,0.0412,0.0411,0.041,0.0447,0.0439,0.0467,0.0482,0.0456,0.05,0.0481,0.0533,0.0529,0.0532,0.0544,0.0519,0.0436,0.0502,0.0485,0.0457,0.0448,0.0459,0.0429,0.0448,0.0434,0.0401,0.0429,0.0448,0.0452,0.0471
4,0.0124,0.0157,0.0234,0.0326,0.0439,0.0494,0.0497,0.0485,0.0549,0.051,0.0555,0.0568,0.0575,0.0557,0.0583,0.0594,0.0573,0.0537,0.0534,0.0564,0.0527,0.0515,0.0559,0.0553,0.0551,0.0574,0.0512,0.0507,0.0509,0.0516,0.0465
5,0.0074,0.0127,0.0205,0.0276,0.0315,0.0325,0.0298,0.0266,0.0245,0.0231,0.0256,0.0259,0.0248,0.0254,0.028,0.0212,0.0238,0.0192,0.02,0.0209,0.0126,0.0122,0.0216,0.0188,0.0153,0.0146,0.0129,0.0155,0.0157,0.016,0.0217
6,0.0025,0.0044,0.0052,0.0118,0.0156,0.0161,0.0226,0.022000000000000002,0.0192,0.0225,0.0239,0.018000000000000002,0.0155,0.0198,0.0184,0.0163,0.0219,0.0179,0.021,0.0151,0.0162,0.022000000000000002,0.015,0.0184,0.0161,0.0146,0.0184,0.0146,0.0172,0.0219,0.019
7,0.0014,0.0431,0.0366,0.0173,0.0196,0.0176,0.0243,0.0312,0.0301,0.032,0.0424,0.0366,0.0384,0.0437,0.0463,0.0467,0.0499,0.0435,0.0489,0.0497,0.0503,0.047,0.0463,0.0503,0.0551,0.048,0.0501,0.0416,0.0541,0.0469,0.0423
8,0.0306,0.0356,0.0361,0.0367,0.0389,0.0397,0.0429,0.0433,0.0467,0.0455,0.048,0.0483,0.0445,0.0431,0.0522,0.0479,0.0416,0.0453,0.0457,0.0424,0.0412,0.0391,0.0393,0.0435,0.0448,0.0445,0.0493,0.0403,0.0444,0.038,0.0433
9,0.004,0.0186,0.01,0.0162,0.0144,0.0206,0.0234,0.0216,0.0226,0.0273,0.0347,0.0359,0.0315,0.0307,0.0317,0.0355,0.0346,0.0319,0.0389,0.0341,0.041,0.036000000000000004,0.0365,0.0335,0.0324,0.0381,0.0415,0.0463,0.0409,0.0345,0.0341
10,-0.0176,-0.0096,0.0114,0.0197,0.0341,0.0244,0.0291,0.0247,0.02,0.026000000000000002,0.0289,0.0289,0.0263,0.0311,0.0335,0.0356,0.0382,0.0379,0.0373,0.0297,0.0282,0.0403,0.0277,0.0373,0.0365,0.0261,0.0358,0.0395,0.0433,0.0456,0.0406
11,0.0031,-0.0157,-0.0094,-0.0049,-0.0048,-0.0065,-0.0002,-0.0045,-0.0011,0.0022,-0.0019,-0.0044,-0.0058,-0.0004,-0.0091,-0.0071,-0.0032,-0.0059,-0.0094,-0.0033,0.0031,0.0073,-0.0043,-0.0074,-0.011,-0.0037,-0.0055,-0.0087,-0.0023,0.0074,0.0002
12,-0.0192,-0.0207,-0.0385,-0.046,-0.0362,-0.0511,-0.0512,-0.0541,-0.0574,-0.0714,-0.0599,-0.0562,-0.0475,-0.0538,-0.0502,-0.0548,-0.0603,-0.0585,-0.061,-0.043,-0.0362,-0.0359,-0.0469,-0.0477,-0.0349,-0.0485,-0.0301,-0.0476,-0.0247,-0.0206,-0.0426
13,-0.0014,-0.001,-0.001,0.009000000000000001,0.0079,0.0172,0.0102,0.0177,0.0135,0.0111,0.0085,0.0097,0.0082,0.0099,0.0062,-0.0008,0.0141,0.0067,0.0082,0.0087,0.0126,0.0034,0.0016,-0.0006,0.0028,0.0071,0.0062,0.0112,-0.0005,0.0078,0.0119
14,0.0071,-0.0015,-0.0021,0.0027,0.0031,0.0076,0.0106,0.0141,0.019,0.0137,0.0215,0.0233,0.022,0.0256,0.0254,0.026000000000000002,0.0352,0.0304,0.0285,0.0291,0.0387,0.0352,0.0364,0.035,0.0383,0.0402,0.0361,0.0375,0.0317,0.0376,0.0391
15,-0.015,-0.0159,-0.0184,-0.0027,-0.0344,-0.0392,-0.0271,-0.0221,-0.0361,-0.0362,-0.0247,-0.0186,-0.0144,-0.0057,-0.0156,-0.0168,-0.0158,-0.0044,-0.0052,-0.0077,-0.0019,-0.0029,0.0192,-0.0042,-0.0049,-0.0069,-0.0043,-0.0115,-0.0071,-0.0081,-0.0088
16,0.0053,0.0088,0.0152,0.0214,0.0267,0.0294,0.0287,0.0283,0.0264,0.0274,0.0231,0.0209,0.0205,0.0172,0.0189,0.0159,0.0155,0.0124,0.0124,0.013000000000000001,0.0042,0.0027,0.0075,0.0025,0.0063,0.0032,0.0048,0.002,0.0053,0.0041,0.0074
17,-0.0105,-0.0143,-0.0135,-0.0143,-0.0091,-0.0095,-0.01,-0.0071,-0.0101,-0.0063,-0.0057,-0.0015,-0.0017,-0.0031,-0.0013,-0.006,-0.0098,-0.0104,-0.0027,-0.002,-0.0098,-0.0149,-0.0133,-0.0121,-0.0111,-0.0066,-0.0082,-0.005,-0.0097,-0.0085,-0.0145
18,0.0374,0.0336,0.0318,0.0318,0.0307,0.0314,0.0308,0.0361,0.0454,0.0441,0.0462,0.0523,0.0497,0.0498,0.0539,0.054000000000000006,0.0584,0.0592,0.0549,0.0544,0.055,0.0556,0.06,0.0644,0.0586,0.0639,0.0568,0.0534,0.0524,0.06,0.0534
19,0.0045,0.0092,0.0145,0.0214,0.0236,0.0248,0.027000000000000003,0.0303,0.0298,0.0334,0.0319,0.0315,0.0348,0.0372,0.0362,0.0407,0.0391,0.039,0.0381,0.0397,0.0387,0.035,0.0408,0.0426,0.0382,0.038,0.0438,0.0445,0.0345,0.0367,0.0378
20,-0.0414,-0.0479,-0.0507,-0.0516,-0.0557,-0.055999999999999994,-0.0569,-0.0596,-0.0644,-0.0592,-0.064,-0.065,-0.0641,-0.0598,-0.0622,-0.0645,-0.0685,-0.0686,-0.0714,-0.0731,-0.0748,-0.0781,-0.0742,-0.0801,-0.0788,-0.0786,-0.0767,-0.0801,-0.0813,-0.0842,-0.0822
21,-0.0069,-0.0061,0.0005,0.0055,0.0107,0.0111,0.0133,0.0153,0.0121,0.0151,0.0179,0.0149,0.0158,0.0131,0.0134,0.0154,0.0167,0.0166,0.0167,0.0141,0.0198,0.0189,0.0184,0.0137,0.0175,0.0161,0.0142,0.0169,0.0163,0.0161,0.0178
22,-0.0138,-0.01,-0.0094,-0.0049,-0.0107,-0.0179,0.0054,-0.0031,-0.0029,-0.0053,-0.0033,-0.0086,-0.0124,-0.01,-0.0144,-0.0069,-0.0041,-0.0179,-0.0127,-0.0197,-0.0112,-0.0136,-0.0177,-0.0097,0.0165,0.0059,0.0207,0.0125,0.0175,0.0304,0.0397
23,-0.014,-0.01,-0.0064,-0.0012,-0.0048,-0.0034,-0.0028,0.0021,0.0022,0.0066,0.0035,0.001,0.0072,0.0084,0.0054,0.0071,0.0164,0.0188,0.0079,0.0181,0.01,0.0199,0.0083,0.0033,0.0092,0.02,0.0166,0.0114,0.0078,0.0096,0.0054
24,0.0504,0.0393,0.0265,0.0191,0.0236,0.0136,0.0195,0.0153,0.0212,0.0136,0.0184,0.0185,0.0188,0.019,0.0121,0.0113,0.0199,0.018000000000000002,0.0134,0.006,0.0143,0.0259,0.0132,0.02,0.0091,0.0041,0.0063,0.0081,0.0086,0.0045,0.001
25,0.0113,0.0086,0.012,0.0129,0.0111,0.012,0.0066,0.0089,0.0114,0.0115,0.0094,0.0071,0.0087,0.0035,0.0068,-0.0003,0.001,0.0048,0.0082,0.0072,0.0032,-0.0009,-0.0012,-0.0014,0.0022,-0.0026,-0.0026,-0.0039,-0.0018,-0.0006,-0.0048
26,-0.0045,-0.0076,-0.0169,-0.0072,-0.0061,-0.0026,0.0111,-0.0091,-0.006,-0.0042,-0.0265,-0.0181,-0.0112,-0.0101,0.0068,-0.0091,-0.0041,0.0065,0.0275,0.0124,0.0077,0.0093,0.0123,0.0029,0.0138,0.008,0.0392,0.0065,0.0155,0.02,0.0471
27,0.0072,0.0122,0.017,0.0172,0.0187,0.0159,0.0177,0.0179,0.0165,0.0156,0.0194,0.0187,0.0223,0.0224,0.0177,0.0191,0.0181,0.0207,0.0185,0.0225,0.0177,0.0205,0.02,0.0196,0.017,0.0219,0.0284,0.0261,0.0233,0.0243,0.0228
28,0.0854,0.0934,0.0933,0.0922,0.0914,0.0889,0.0908,0.0898,0.0924,0.09300000000000001,0.0891,0.0875,0.0923,0.0858,0.0912,0.0913,0.0953,0.0983,0.0991,0.0965,0.1005,0.1015,0.1023,0.102,0.1026,0.1023,0.1033,0.1036,0.1038,0.0998,0.0996
29,0.0201,0.0254,0.026,0.0223,0.0269,0.0225,0.0187,0.0198,0.0182,0.0176,0.0178,0.015,0.0168,0.0198,0.0189,0.0166,0.0163,0.016,0.0205,0.0223,0.0198,0.02,0.0232,0.0221,0.017,0.0206,0.0204,0.0187,0.0136,0.0175,0.0165
30,-0.0091,-0.0065,-0.0146,-0.0153,-0.0187,-0.0155,-0.0176,-0.0153,-0.0225,-0.0187,-0.0168,-0.009000000000000001,-0.0131,-0.0151,-0.0179,-0.0064,-0.0076,-0.0044,0.0064,-0.0017,0.0014,-0.0074,-0.0068,-0.0109,-0.0076,0.0091,0.002,-0.0026,-0.0077,-0.0099,-0.0114
31,0.0036,-0.0073,-0.0142,-0.0136,-0.0184,-0.0194,-0.0257,-0.027000000000000003,-0.0313,-0.0326,-0.032,-0.0268,-0.0314,-0.033,-0.0337,-0.0332,-0.0325,-0.0375,-0.0292,-0.0343,-0.0319,-0.0327,-0.0382,-0.0378,-0.036000000000000004,-0.0367,-0.04,-0.0471,-0.0444,-0.0372,-0.0408
