Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0291,-0.0222,-0.0109,0.0172,0.0252,0.0256,0.0257,0.0287,0.0255,0.0354,0.0246,0.0302,0.0274,0.0206,0.0266,0.0379,0.0228,0.0313,0.0307,0.0327,0.0254,0.0294,0.0292,0.0329,0.0365,0.0362,0.0324,0.0322,0.0333,0.0393,0.0398
1,0.014,0.0182,0.0157,0.0157,0.0162,0.0093,0.0107,0.0131,0.0158,0.0138,0.0135,0.016,0.0161,0.0139,0.0133,0.0144,0.0146,0.0176,0.0176,0.0204,0.0241,0.0239,0.0194,0.0213,0.0272,0.0225,0.0228,0.0231,0.0272,0.0284,0.0279
2,-0.0112,-0.0189,-0.0217,-0.0217,-0.0217,-0.0217,-0.0217,-0.044000000000000004,-0.0442,-0.0442,-0.0442,-0.0442,-0.0442,-0.0442,-0.0442,-0.0442,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756,-0.0756
3,-0.0154,-0.0176,-0.0279,-0.0327,-0.0293,-0.0161,-0.0363,-0.0414,-0.04,-0.0428,-0.054000000000000006,-0.0606,-0.0652,-0.0664,-0.067,-0.0676,-0.0757,-0.0819,-0.0846,-0.0872,-0.0799,-0.0901,-0.08800000000000001,-0.0928,-0.09,-0.1014,-0.0994,-0.1041,-0.0937,-0.1007,-0.106
4,0.0201,0.0251,0.0185,0.0161,0.0125,0.0128,0.0166,0.0116,0.0101,0.0065,0.0085,0.0077,0.0059,0.0055,0.0053,0.0045,0.0061,0.0091,0.0095,0.0077,0.002,0.0047,0.0047,0.0071,0.0087,0.005,0.0088,0.0091,0.0079,0.0164,0.0028
5,0.0118,0.0113,0.0072,0.0035,-0.003,0.0016,-0.0021,-0.001,-0.0037,-0.0066,-0.0025,-0.0037,-0.0012,-0.0019,0.0035,0.0025,-0.0,0.0038,-0.0015,-0.0004,0.0013,-0.0004,0.0049,0.0066,0.0027,0.0057,-0.0024,0.0027,-0.0005,-0.003,-0.0005
6,0.0184,0.0152,0.0087,0.0066,0.0,-0.0035,-0.0064,-0.0033,-0.0075,-0.0025,-0.0059,-0.0061,-0.0036,-0.0063,0.0012,0.0007,0.0025,0.0012,-0.0006,-0.0055,0.0014,-0.0001,0.0009,0.0041,0.0072,0.0022,-0.0002,0.003,0.0062,0.0043,0.004
7,0.0333,0.0329,0.0327,0.0297,0.0278,0.0273,0.0297,0.0275,0.0279,0.0293,0.0301,0.0333,0.0323,0.027000000000000003,0.0298,0.032,0.0325,0.034,0.0302,0.0281,0.0306,0.0316,0.0293,0.0277,0.0316,0.0309,0.0309,0.0306,0.0367,0.0338,0.0308
8,-0.0115,-0.0293,-0.0301,-0.0324,-0.0341,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0451,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751,-0.0751
9,-0.0112,-0.0177,-0.0193,-0.0242,-0.0274,-0.0296,-0.0269,-0.0275,-0.0251,-0.0264,-0.025,-0.0232,-0.0256,-0.0222,-0.0227,-0.0244,-0.0265,-0.0254,-0.0217,-0.0221,-0.024,-0.0242,-0.0232,-0.0225,-0.0234,-0.0215,-0.0218,-0.0214,-0.0268,-0.0269,-0.0286
10,0.0119,0.0047,0.0062,0.0071,0.0095,0.0109,0.0055,0.0058,0.0067,0.0073,0.0059,0.0085,0.0034,0.0073,0.0028,0.0038,0.0051,0.0018,0.0011,-0.0011,-0.0003,0.0016,-0.0019,0.0016,0.0005,0.0015,-0.0035,-0.002,0.0014,-0.0002,-0.0016
11,-0.0265,-0.0295,-0.0302,-0.0301,-0.0323,-0.0346,-0.0307,-0.0333,-0.036000000000000004,-0.039,-0.0349,-0.0377,-0.035,-0.0351,-0.0397,-0.0404,-0.0413,-0.0378,-0.0438,-0.0454,-0.0434,-0.0453,-0.0491,-0.0518,-0.051,-0.0518,-0.0482,-0.0507,-0.0524,-0.0514,-0.0543
12,-0.0158,-0.0228,-0.0325,-0.0397,-0.0503,-0.0529,-0.0593,-0.0617,-0.0642,-0.0634,-0.0644,-0.0657,-0.0693,-0.0706,-0.0736,-0.0743,-0.0769,-0.076,-0.0767,-0.0822,-0.0787,-0.0817,-0.0803,-0.0789,-0.0747,-0.0811,-0.0805,-0.0774,-0.0859,-0.0831,-0.0845
