Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0448,-0.047,-0.0314,-0.015,0.0048,0.0107,0.0408,0.0414,0.0514,0.0721,0.075,0.0823,0.0924,0.0987,0.1124,0.1234,0.1343,0.1562,0.1521,0.1571,0.1615,0.1732,0.1647,0.1763,0.1883,0.1931,0.2087,0.2092,0.2248,0.2224,0.2305
1,-0.0049,-0.0042,0.0048,0.0196,0.0281,0.024,0.0226,0.0356,0.033,0.0447,0.0556,0.0451,0.0608,0.059000000000000004,0.0572,0.0652,0.0754,0.0817,0.0777,0.0836,0.0709,0.0636,0.067,0.08,0.0844,0.0849,0.0871,0.0915,0.0889,0.0852,0.0846
2,0.017,0.0336,0.0579,0.07400000000000001,0.0926,0.102,0.1246,0.1478,0.1627,0.1743,0.1951,0.2029,0.2059,0.2118,0.2272,0.2463,0.2492,0.2622,0.2665,0.2692,0.2891,0.2964,0.3085,0.3076,0.3257,0.3202,0.3356,0.3374,0.3471,0.3509,0.3593
3,0.0459,0.0665,0.0767,0.0691,0.0739,0.0857,0.0876,0.0969,0.1009,0.1118,0.1193,0.1278,0.1277,0.1474,0.1562,0.1514,0.1673,0.1679,0.1808,0.1864,0.1913,0.1998,0.2078,0.2006,0.2166,0.2175,0.2237,0.2282,0.2331,0.2399,0.2366
4,0.0337,0.048,0.0624,0.0735,0.0856,0.0949,0.0936,0.1077,0.1114,0.1202,0.1213,0.1336,0.1447,0.1551,0.1571,0.1609,0.1679,0.174,0.1794,0.193,0.1907,0.2015,0.2106,0.2082,0.2212,0.2285,0.2421,0.2498,0.2628,0.2645,0.2737
5,0.0014,0.0205,0.0422,0.0423,0.049,0.0531,0.0683,0.0678,0.0738,0.08,0.0826,0.0966,0.0986,0.1078,0.101,0.1135,0.1128,0.1123,0.1162,0.1195,0.1157,0.1214,0.1244,0.1205,0.1266,0.1376,0.1365,0.142,0.1366,0.1356,0.1323
6,-0.0214,-0.0201,-0.013,-0.0159,-0.0027,-0.002,0.0145,0.0115,0.0216,0.0265,0.0315,0.0464,0.0607,0.0667,0.0607,0.0738,0.0865,0.1045,0.1084,0.11900000000000001,0.1248,0.1398,0.1626,0.1595,0.1551,0.1709,0.1855,0.1944,0.1983,0.214,0.2277
7,-0.0064,-0.0198,-0.0302,-0.035,-0.0437,-0.0568,-0.0694,-0.0744,-0.0912,-0.0952,-0.1089,-0.1025,-0.1133,-0.1158,-0.1033,-0.1196,-0.1321,-0.1449,-0.1369,-0.1416,-0.1351,-0.1347,-0.1327,-0.1392,-0.1479,-0.1367,-0.1373,-0.1376,-0.1408,-0.1454,-0.156
8,0.0116,0.0129,0.0174,0.0326,0.0423,0.0666,0.0733,0.09,0.0967,0.1036,0.1137,0.1218,0.1322,0.1457,0.16399999999999998,0.16899999999999998,0.1854,0.1889,0.1998,0.2062,0.2195,0.2189,0.2171,0.2422,0.2488,0.2542,0.2715,0.2719,0.2772,0.2863,0.2894
9,-0.0285,-0.0251,-0.0434,-0.0508,-0.0597,-0.0694,-0.0858,-0.0904,-0.1,-0.1105,-0.1321,-0.1362,-0.1448,-0.1484,-0.1644,-0.1818,-0.1982,-0.2103,-0.2141,-0.2337,-0.2412,-0.2513,-0.2666,-0.2658,-0.2906,-0.3008,-0.302,-0.3076,-0.3281,-0.3193,-0.3352
