,Id,Epoch:0,Epoch:1,Epoch:2,Epoch:3,Epoch:4,Epoch:5,Epoch:6,Epoch:7,Epoch:8,Epoch:9,Epoch:10,Epoch:11,Epoch:12,Epoch:13,Epoch:14,Epoch:15,Epoch:16,Epoch:17,Epoch:18,Epoch:19,Epoch:20,Epoch:21,Epoch:22,Epoch:23,Epoch:24,Epoch:25,Epoch:26,Epoch:27,Epoch:28,Epoch:29,Epoch:30,Epoch:31,Epoch:32,Epoch:33,Epoch:34,Epoch:35,Epoch:36,Epoch:37,Epoch:38,Epoch:39,Epoch:40,Epoch:41,Epoch:42,Epoch:43,Epoch:44,Epoch:45,Epoch:46,Epoch:47,Epoch:48,Epoch:49,Epoch:50,Epoch:51,Epoch:52,Epoch:53,Epoch:54,Epoch:55,Epoch:56,Epoch:57,Epoch:58,Epoch:59,Epoch:60,Epoch:61,Epoch:62,Epoch:63,Epoch:64,Epoch:65,Epoch:66,Epoch:67,Epoch:68,Epoch:69,Epoch:70,Epoch:71,Epoch:72,Epoch:73,Epoch:74,Epoch:75,Epoch:76,Epoch:77,Epoch:78,Epoch:79,Epoch:80,Epoch:81,Epoch:82,Epoch:83,Epoch:84,Epoch:85,Epoch:86,Epoch:87
539,0.0,0.13496702164411545,0.1421947255730629,0.15064774240766252,0.1604071014693805,0.17035176817859923,0.18060334878308432,0.1901920586824417,0.1996681754078184,0.20819211644785746,0.2161818891763687,0.22386456174509867,0.23100526630878448,0.23815715738705226,0.24442388117313385,0.25060686256204334,0.2563634855406625,0.26204957706587656,0.2670993336609432,0.27231574058532715,0.2765766424792154,0.28102312769208637,0.28612086176872253,0.2899608314037323,0.29440852999687195,0.298357184444155,0.30228303159986225,0.3059009441307613,0.3094164388520377,0.3085617891379765,0.3112638464995793,0.3146731172289167,0.31759354046412874,0.3203589618206024,0.3225833262716021,0.3231098694460733,0.32544879402433124,0.32767572147505625,0.33059444597789217,0.33279275468417574,0.335700660943985,0.33739148718970163,0.33984299642699106,0.3363072744437626,0.33805584056036814,0.34034342425210135,0.34240279878888813,0.34454527497291565,0.34651001010622295,0.3484536366803305,0.35049561517579214,0.352858053786414,0.34778987084116253,0.3496386025633131,0.351071583373206,0.3529127665928432,0.3550261003630502,0.355896315404347,0.3581820343221937,0.3602307822023119,0.3612857035228184,0.363696779523577,0.36513082895960125,0.3668941387108394,0.3662704484803336,0.36796535338674274,0.3695523866585323,0.37105060475213186,0.37249302864074707,0.3739829233714512,0.3750296064785549,0.37723723479679655,0.3784693479537964,0.38027640325682505,0.3817477950028011,0.3825946705681937,0.3816662132740021,0.38372779744012014,0.38443611775125774,0.3859945407935551,0.3874166650431497,0.3886642839227404,0.38998305797576904,0.3913600870541164,0.3921712892396109,0.39354291558265686,0.39473268389701843,0.39587914517947603,0.3970544778165363
1904,1.0,-0.1575569435954094,-0.15375838577747344,-0.1480858087539673,-0.1414630576968193,-0.13323790729045867,-0.1256343364715576,-0.11811765283346176,-0.11140530109405518,-0.10468344241380692,-0.09816941022872924,-0.09201207309961319,-0.0860518604516983,-0.08027169406414032,-0.07457594498991967,-0.06994473785161973,-0.06481477543711663,-0.059980323910713194,-0.05667947009205818,-0.052442363649606694,-0.04908260703086853,-0.04544147104024887,-0.04136830493807793,-0.0395175501704216,-0.03675549253821373,-0.03478041999042034,-0.03223510980606079,-0.03141556307673454,-0.028388748317956923,-0.012413828819990157,-0.010342750325798988,-0.008671210770262405,-0.006714101787656546,-0.006212292658165097,-0.005815083149354905,0.0030419531743973494,0.003082444774918258,0.005236518243327737,0.005411644419655204,0.005814315262250602,0.006638328498229385,0.0064115452114492655,0.006508199102245271,0.01623576655983925,0.016455861926078796,0.016795074567198757,0.01660379432141781,0.0169807530939579,0.016258216090500356,0.01575884018093348,0.015804777294397353,0.01591895604506135,0.027596700191497802,0.026982535421848298,0.02663344144821167,0.02591582536697388,0.025906552374362946,0.025484171509742738,0.024819925241172314,0.024400197714567185,0.023175783269107346,0.0237196734175086,0.02248717350885272,0.023149696458131076,0.0405190497636795,0.03993237018585205,0.03997212722897529,0.03908627852797508,0.037802959233522414,0.038089925050735475,0.03704497925937176,0.037142252922058104,0.03627306073904037,0.03539318516850472,0.034993543103337285,0.03353457227349281,0.03166462890803814,0.030809378996491426,0.030403460189700127,0.030218237638473512,0.029340435564517976,0.02834370881319046,0.027375736832618715,0.026817498728632927,0.026505988091230392,0.025549418479204177,0.02481382079422474,0.023079875111579894,0.022011494760712
127,2.0,-0.16460895703898537,-0.16493118719922173,-0.17008057981729507,-0.17636632091469234,-0.18371329953273138,-0.19222653077708352,-0.20061762796507943,-0.20827050507068634,-0.21521471275223625,-0.2225650499264399,-0.22908000979158613,-0.23595912920104134,-0.2420237643851174,-0.24723606142732832,-0.2518629944986767,-0.2559832317961587,-0.2606929126713011,-0.2647590918673409,-0.2700572262207667,-0.2735612591107686,-0.27745895915561253,-0.2811451057593028,-0.2842381563451555,-0.2884959843423631,-0.2904210289319356,-0.2919730544090271,-0.29409968852996826,-0.29695912533336216,-0.30827170610427856,-0.30960944957203335,-0.31209879451327854,-0.3138733175065782,-0.31528091099527145,-0.31795088118977016,-0.3228134512901306,-0.32413796252674526,-0.3262803753217061,-0.32638848821322125,-0.3274276786380344,-0.3298218879434798,-0.33107346296310425,-0.3323707646793789,-0.33970454666349625,-0.3403191732035743,-0.3412919607427385,-0.34262801541222465,-0.3434295091364119,-0.3442704975605011,-0.34566981593767804,-0.34685039189126754,-0.3464824987782372,-0.3539653586016761,-0.3548884126875136,-0.3561432957649231,-0.35689777135849,-0.35748634735743207,-0.3582488927576277,-0.35952645540237427,-0.360610650645362,-0.36030537221166825,-0.3618429634306166,-0.36232580410109627,-0.3632973035176595,-0.3703027864297231,-0.3708219660653008,-0.3720014757580227,-0.3724566168255276,-0.3729947838518355,-0.3737257851494683,-0.37324202060699463,-0.3748418390750885,-0.3749299281173282,-0.376050333182017,-0.376104967461692,-0.37641902764638263,-0.38016029861238265,-0.3809884819719527,-0.3813008699152205,-0.3812133272488912,-0.3827827076117198,-0.3831551671028137,-0.38261740737491184,-0.383357521560457,-0.38387899928622776,-0.3840927879015605,-0.38480257987976074,-0.3851698372099135,-0.3857654509720979
62,3.0,0.16613985504955053,0.17110654152929783,0.17757009714841843,0.1841343380510807,0.18973793368786573,0.19614876713603735,0.20140638016164303,0.20571255311369896,0.20968830678611994,0.21398218255490065,0.21748305950313807,0.2214289391413331,0.22476467583328485,0.2279661064967513,0.23107348568737507,0.23430452030152082,0.23724523931741714,0.23945915792137384,0.24160604923963547,0.24415902886539698,0.24614323023706675,0.24811566527932882,0.25003436487168074,0.2522529289126396,0.25391166657209396,0.25603131018579006,0.25742739997804165,0.25929868686944246,0.2557619418948889,0.25754506420344114,0.2591008534654975,0.2603522529825568,0.26173151656985283,0.26361184753477573,0.26168388687074184,0.2626158967614174,0.2641362566500902,0.26529265753924847,0.26684646867215633,0.26806073170155287,0.26932651177048683,0.2703705374151468,0.26872643455863,0.26973268762230873,0.2706825006753206,0.27208493649959564,0.27324007265269756,0.2742606084793806,0.27500077337026596,0.2760923933237791,0.27697267197072506,0.2744706477969885,0.27506049536168575,0.27656614035367966,0.27707515843212605,0.2776550706475973,0.2789855431765318,0.2794827688485384,0.28066382743418217,0.2813387159258127,0.28218796849250793,0.2830005344003439,0.2839158661663532,0.2793825790286064,0.27999133989214897,0.2809060364961624,0.28155255876481533,0.28218935802578926,0.2824306972324848,0.2832780685275793,0.28432825952768326,0.28497669845819473,0.2856031134724617,0.2861589379608631,0.28697472997009754,0.28805690072476864,0.2887663748115301,0.2898670118302107,0.28996283933520317,0.29078720696270466,0.2912122346460819,0.2919178996235132,0.2921477034687996,0.29294217750430107,0.2933173421770334,0.29392948374152184,0.29425482265651226,0.29477136333783466
369,4.0,-0.1843859673965545,-0.1793788274129232,-0.17280004067080362,-0.1658028605438414,-0.15953494821275985,-0.1535691867272059,-0.1477519656930651,-0.1431120421205248,-0.1390402065146537,-0.13436997114192872,-0.1312277600878761,-0.1278548790585427,-0.12448924425102416,-0.12218130202520461,-0.11932542316970371,-0.11678391446669896,-0.11432334638777233,-0.11246240209965479,-0.11056948346751076,-0.10890915209338778,-0.10725362137669608,-0.10550485480399359,-0.10407503694295883,-0.10247088152737845,-0.10109186953022367,-0.09944245183751696,-0.0983439910979498,-0.09713948624474662,-0.0981211428131376,-0.09688239012445722,-0.09557231338251204,-0.09459445519106728,-0.09348458370992116,-0.09185394218989781,-0.09129646526915687,-0.09062523856049493,-0.08997353592089244,-0.08848949202469417,-0.08738734573125839,-0.08670740397203536,-0.08566671964668092,-0.08450461888597124,-0.08502073727902912,-0.08417711761735734,-0.08284944437799,-0.08191017487219401,-0.08080912452368509,-0.079862080514431,-0.07892169306675594,-0.07796624657653627,-0.07714042032048815,-0.07855712232135591,-0.07793566371713366,-0.07656480159078326,-0.07638499708402724,-0.075252513445559,-0.07421315816186723,-0.07376075394096829,-0.0724749288388661,-0.07150602269740332,-0.07062434795356932,-0.06979349645830336,-0.06896509496229035,-0.06588288857823327,-0.06510502561217263,-0.06435699831871759,-0.0635780699196316,-0.0626515710637683,-0.061752278535138996,-0.06100352037520636,-0.060118112890493305,-0.05924862960264796,-0.05822687329990523,-0.057493966072797775,-0.056738226541451046,-0.05507353994817961,-0.05410436895631608,-0.053340522661095575,-0.052178832924082166,-0.051483889598222005,-0.05062904776561828,-0.049868472097885044,-0.04871964241777148,-0.048187802057890666,-0.047017522333633335,-0.04621486294837225,-0.04569372366226855,-0.044984904310059935
1640,5.0,-0.07420974597334862,-0.08076857682317495,-0.08733230829238892,-0.09118097089231014,-0.09467286802828312,-0.0971688088029623,-0.0978961531072855,-0.09902300126850605,-0.10077833198010921,-0.0995938591659069,-0.09929206594824791,-0.0973060242831707,-0.09547076746821404,-0.09482813626527786,-0.09276346676051617,-0.09110342152416706,-0.08774234913289547,-0.08573410473763943,-0.08316930383443832,-0.08090013079345226,-0.07870123535394669,-0.07593948394060135,-0.07339172344654799,-0.07104283012449741,-0.0682897875085473,-0.06494903191924095,-0.06220607832074165,-0.057991121895611286,-0.07442586589604616,-0.07079836074262857,-0.06827248446643353,-0.06564414873719215,-0.06084848940372467,-0.055846224538981915,-0.07061080634593964,-0.06593379285186529,-0.062357950024306774,-0.058151586912572384,-0.05304843932390213,-0.051183341071009636,-0.047162152361124754,-0.045428966637700796,-0.04309106804430485,-0.03874270059168339,-0.03531263489276171,-0.03183286963030696,-0.028063395526260138,-0.024741822853684425,-0.021142047829926014,-0.018132593482732773,-0.01429912936873734,-0.007243193103931844,-0.006168603315018117,-0.002107642227201722,0.00014818635827396065,0.004110675421543419,0.007855636882595718,0.011029071407392621,0.012851376086473465,0.016978165367618203,0.01922276895493269,0.02206606324762106,0.02407681057229638,0.02918067667633295,0.03209624486044049,0.034278457053005695,0.03691153600811958,0.04084424767643213,0.04403753578662872,0.047499166801571846,0.049232158809900284,0.05186666641384363,0.05380283482372761,0.05619500111788511,0.05995451007038355,0.06493380852043629,0.06763046979904175,0.07028785534203053,0.07275600731372833,0.07432182133197784,0.07753749936819077,0.07992246560752392,0.08144079893827438,0.08401260524988174,0.08607916906476021,0.08828888088464737,0.09009313024580479,0.09216768791278203
1983,6.0,0.054641229845583436,0.05174212474375963,0.04854133706539869,0.04470494780689478,0.04086735416203737,0.0368203679099679,0.03290992397814989,0.0294687170535326,0.027015475928783415,0.02359520671889186,0.021077224612236024,0.01833754815161228,0.015684811910614372,0.013224778673611581,0.011186250392347575,0.009386964060831815,0.00690131630981341,0.004532056408788776,0.002037508832290769,-0.0004344209068221971,-0.0020184044347843154,-0.004361820436315611,-0.006360224226955325,-0.008777447091415525,-0.010492155095562339,-0.012870694557204843,-0.01412913454696536,-0.01633191523142159,-0.015716389380395414,-0.017837923485785723,-0.019832772854715585,-0.02158662537112832,-0.02302005458623171,-0.02483677938580513,-0.023712638206779955,-0.025887137092649937,-0.027130386792123318,-0.028330644033849238,-0.03055661730468273,-0.03238979578018188,-0.03452570158988237,-0.03647741731256247,-0.03396923281252384,-0.03576823957264423,-0.03778370060026646,-0.03920161575078964,-0.04042455144226551,-0.04217478334903717,-0.04392130747437477,-0.04592370055615902,-0.04757173433899879,-0.0467340849339962,-0.048489663004875186,-0.05104824788868427,-0.05149770602583885,-0.053893717005848885,-0.05613328069448471,-0.05708595104515553,-0.058713356405496596,-0.059772124513983727,-0.06130142435431481,-0.06311492398381233,-0.06436887755990028,-0.05958955958485603,-0.06132179088890553,-0.06303102634847164,-0.06363816484808922,-0.06584567204117775,-0.06694570481777191,-0.06840463429689407,-0.06973066031932831,-0.07053915113210678,-0.07251820713281631,-0.07314695417881012,-0.07417152374982834,-0.06916215270757675,-0.07040514647960663,-0.07141974419355393,-0.07303784936666488,-0.07394181489944458,-0.07535636946558952,-0.07654032558202743,-0.07787046059966088,-0.07891615182161331,-0.07985745817422867,-0.08146732375025749,-0.08227279409766197,-0.08361452793081602
1984,7.0,0.054641229845583436,0.05174212474375963,0.04854133706539869,0.04470494780689478,0.04086735416203737,0.0368203679099679,0.03290992397814989,0.0294687170535326,0.027015475928783415,0.02359520671889186,0.021077224612236024,0.01833754815161228,0.015684811910614372,0.013224778673611581,0.011186250392347575,0.009386964060831815,0.00690131630981341,0.004532056408788776,0.002037508832290769,-0.0004344209068221971,-0.0020184044347843154,-0.004361820436315611,-0.006360224226955325,-0.008777447091415525,-0.010492155095562339,-0.012870694557204843,-0.01412913454696536,-0.01633191523142159,-0.015716389380395414,-0.017837923485785723,-0.019832772854715585,-0.02158662537112832,-0.02302005458623171,-0.02483677938580513,-0.023712638206779955,-0.025887137092649937,-0.027130386792123318,-0.028330644033849238,-0.03055661730468273,-0.03238979578018188,-0.03452570158988237,-0.03647741731256247,-0.03396923281252384,-0.03576823957264423,-0.03778370060026646,-0.03920161575078964,-0.04042455144226551,-0.04217478334903717,-0.04392130747437477,-0.04592370055615902,-0.04757173433899879,-0.0467340849339962,-0.048489663004875186,-0.05104824788868427,-0.05149770602583885,-0.053893717005848885,-0.05613328069448471,-0.05708595104515553,-0.058713356405496596,-0.059772124513983727,-0.06130142435431481,-0.06311492398381233,-0.06436887755990028,-0.05958955958485603,-0.06132179088890553,-0.06303102634847164,-0.06363816484808922,-0.06584567204117775,-0.06694570481777191,-0.06840463429689407,-0.06973066031932831,-0.07053915113210678,-0.07251820713281631,-0.07314695417881012,-0.07417152374982834,-0.06916215270757675,-0.07040514647960663,-0.07141974419355393,-0.07303784936666488,-0.07394181489944458,-0.07535636946558952,-0.07654032558202743,-0.07787046059966088,-0.07891615182161331,-0.07985745817422867,-0.08146732375025749,-0.08227279409766197,-0.08361452793081602
967,8.0,-0.15574484132230282,-0.15824952255934477,-0.16082291305065155,-0.16492450423538685,-0.16777405329048634,-0.17297952994704247,-0.17696959525346756,-0.18037703447043896,-0.18301568366587162,-0.1852960903197527,-0.18772445060312748,-0.18977594934403896,-0.19200917333364487,-0.19419118389487264,-0.19644316099584103,-0.1982592474669218,-0.20052123442292213,-0.20197424478828907,-0.2033964432775974,-0.20646518096327782,-0.20830171182751656,-0.21028345078229904,-0.21123512461781502,-0.2137272246181965,-0.21565551310777664,-0.217562573030591,-0.22013326920568943,-0.22242646105587482,-0.22090113908052444,-0.22264754399657252,-0.22570376843214035,-0.22805512882769108,-0.22973334975540638,-0.23304248973727226,-0.22876586392521858,-0.23125430196523666,-0.23282013833522797,-0.23469516076147556,-0.23641731031239033,-0.23906667530536652,-0.24082143791019917,-0.24241589196026325,-0.23524732515215874,-0.2373170480132103,-0.2386430874466896,-0.24140009097754955,-0.24302545003592968,-0.24488483555614948,-0.2464185133576393,-0.249154319986701,-0.25043438747525215,-0.25516592897474766,-0.2564960364252329,-0.25832019187510014,-0.26126677729189396,-0.2619200125336647,-0.2638387456536293,-0.2661682777106762,-0.2676059976220131,-0.2696826756000519,-0.27161819860339165,-0.27429668977856636,-0.2751350775361061,-0.2649751268327236,-0.2672281749546528,-0.26903826370835304,-0.2708965092897415,-0.27303414046764374,-0.2731689065694809,-0.27579599991440773,-0.27791812270879745,-0.2787025049328804,-0.2798664979636669,-0.28122349083423615,-0.28283606097102165,-0.2865406721830368,-0.28815145045518875,-0.28955598175525665,-0.2910035401582718,-0.2935912236571312,-0.2946893088519573,-0.2961905039846897,-0.29809462651610374,-0.3001050390303135,-0.30132536962628365,-0.30303484573960304,-0.3048236481845379,-0.30655956640839577
1669,9.0,-0.20210461860353296,-0.206765661185438,-0.21240231259302658,-0.2182666225866838,-0.22510324147614566,-0.23314785009080713,-0.24127886376597665,-0.24937934902581302,-0.25631893358447333,-0.26406670158559625,-0.27085106345740234,-0.27774905345656653,-0.2831800580024719,-0.28853395310315216,-0.2929072678089142,-0.29725642095912586,-0.3017161407253959,-0.30688307502053,-0.3120965199037032,-0.3163530718196522,-0.32025088234381244,-0.32374761592258106,-0.32820673422379926,-0.3327400955286893,-0.336785381490534,-0.3405873883854259,-0.34331227432597766,-0.3464043980295008,-0.358390363779935,-0.3610877448862249,-0.3640724339268424,-0.36655000935901294,-0.36776250058954413,-0.37086334282701666,-0.37698533589189703,-0.38016428459774365,-0.38202243772420014,-0.38324439796534454,-0.384413174607537,-0.3869807638905265,-0.38865849104794586,-0.39048807187513873,-0.4035183678973805,-0.40525438568808814,-0.4061850769953294,-0.40739911794662476,-0.4078473313288255,-0.4093696556308053,-0.41093914075331256,-0.4121155684644526,-0.41204489090225915,-0.4214715144850991,-0.42273296551270917,-0.42334364490075543,-0.42473897337913513,-0.42542862621220673,-0.4260332530195063,-0.4272176948460666,-0.4282418299805034,-0.4284507252953269,-0.4293320585380901,-0.43034713105721906,-0.4308784008026123,-0.4322382455522364,-0.4326162500814958,-0.43416792967102746,-0.43509505824609235,-0.43585477633909747,-0.43653293631293555,-0.43601931496099994,-0.43751178004524927,-0.4380010285160758,-0.4391078298742121,-0.43948098475282843,-0.43954324993220245,-0.441384803165089,-0.4417788765647195,-0.44258834286169574,-0.44258493185043335,-0.4439771365035664,-0.44418254223736847,-0.4440135224298997,-0.44419281591068616,-0.44495957818898285,-0.44554965875365515,-0.4457897435535084,-0.4463127851486206,-0.4466471888802268
