epoch,accuracy,loss
0,0.014000000432133675,4.626520156860352
1,0.029999999329447746,4.442749977111816
2,0.057999998331069946,4.267125129699707
3,0.12999999523162842,4.057809829711914
4,0.1860000044107437,3.821611166000366
5,0.2669999897480011,3.595569372177124
6,0.30000001192092896,3.378175735473633
7,0.3490000069141388,3.160482168197632
8,0.4180000126361847,2.9062700271606445
9,0.4449999928474426,2.710977554321289
10,0.47200000286102295,2.528123378753662
11,0.5410000085830688,2.3119077682495117
12,0.578000009059906,2.1448919773101807
