Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-0.0227,-0.0222,-0.0158,-0.0105,0.0029,0.0096,0.0158,0.0204,0.0267,0.0258,0.0331,0.0358,0.0424,0.0429,0.0473,0.047,0.0466,0.0488,0.053,0.0552,0.0594,0.0609,0.0583,0.0638,0.0581,0.059000000000000004,0.0564,0.0653,0.0652,0.0657,0.0638
1,-0.0442,-0.0615,-0.0668,-0.0702,-0.0833,-0.087,-0.093,-0.1005,-0.1006,-0.11,-0.1136,-0.1184,-0.1254,-0.1234,-0.132,-0.1379,-0.14400000000000002,-0.1447,-0.1533,-0.1507,-0.1555,-0.162,-0.1606,-0.1701,-0.1728,-0.1717,-0.1738,-0.1772,-0.1864,-0.1872,-0.1916
2,-0.0117,-0.0034,0.0045,0.0085,0.0105,0.0187,0.0281,0.0318,0.0368,0.0452,0.0364,0.0425,0.0469,0.0554,0.0599,0.0561,0.058,0.0593,0.0666,0.0654,0.0696,0.0656,0.0767,0.0716,0.0688,0.0737,0.0672,0.0665,0.0657,0.0715,0.0742
3,-0.0042,0.0501,0.0805,0.083,0.0997,0.1067,0.1168,0.1197,0.1297,0.1364,0.1355,0.1435,0.1408,0.1546,0.1598,0.1608,0.1624,0.166,0.1703,0.1733,0.1781,0.1826,0.1862,0.1875,0.1921,0.1961,0.1959,0.1981,0.1963,0.1956,0.201
4,-0.0141,-0.0235,-0.0236,-0.0249,-0.0316,-0.0291,-0.0302,-0.0298,-0.0336,-0.0315,-0.035,-0.0399,-0.0388,-0.0407,-0.0397,-0.0444,-0.0512,-0.053,-0.0571,-0.0532,-0.0575,-0.0633,-0.0605,-0.0584,-0.0617,-0.0643,-0.0612,-0.054000000000000006,-0.0618,-0.0604,-0.0717
5,-0.0349,-0.0391,-0.0319,-0.0295,-0.0276,-0.0277,-0.0314,-0.0285,-0.0221,-0.0241,-0.0257,-0.0273,-0.0203,-0.0204,-0.0215,-0.021,-0.0268,-0.0168,-0.0203,-0.0222,-0.0246,-0.0279,-0.0266,-0.0261,-0.0291,-0.0276,-0.0321,-0.0262,-0.0274,-0.027000000000000003,-0.0207
6,-0.0212,-0.0249,-0.0178,-0.001,-0.0139,-0.001,-0.0004,0.0101,0.0056,0.0144,0.0081,0.0065,0.008,0.0036,0.0081,0.0084,0.0067,0.0084,0.0078,0.0098,0.0135,0.0083,0.0131,0.0094,0.0115,0.0126,0.0153,0.0173,0.0141,0.0086,0.0109
7,0.0135,0.0336,0.0427,0.0445,0.0481,0.0515,0.0486,0.0542,0.0583,0.0567,0.0554,0.0608,0.0584,0.0543,0.0567,0.0564,0.0533,0.0492,0.0508,0.052000000000000005,0.0472,0.0528,0.0512,0.0565,0.047,0.0539,0.05,0.0553,0.0559,0.059000000000000004,0.0632
8,-0.0412,-0.0601,-0.0665,-0.0779,-0.0864,-0.0901,-0.0893,-0.1006,-0.11,-0.1155,-0.1228,-0.13,-0.1373,-0.139,-0.1426,-0.1514,-0.1552,-0.1515,-0.153,-0.1597,-0.1559,-0.1596,-0.1608,-0.1655,-0.1608,-0.1551,-0.1624,-0.1685,-0.1646,-0.1641,-0.1628
9,0.0164,0.0467,0.0606,0.0647,0.0772,0.0831,0.0968,0.1025,0.1155,0.1237,0.1294,0.1351,0.1492,0.1575,0.1678,0.1714,0.1781,0.1842,0.1843,0.1927,0.2018,0.2065,0.2169,0.213,0.2225,0.21899999999999997,0.2315,0.2389,0.239,0.2347,0.2435
