0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,cluster_id
-0.06949429,-0.073545635,-0.073545635,-0.073545635,-0.07354399,-0.07209738,-0.11618198,-0.13049564,-0.14584786,-0.14359853,-0.13695464,-0.11135551,-0.12823036,-0.11741,-0.14156231,-0.14559542,-0.16422631,-0.16782227,-0.172887,-0.17063911,-0.17254661,-0.20082235,-0.19303213,-0.19285628,-0.19546174,-0.19320731,-0.22093529,-0.21736214,-0.2042844,-0.20925513,-0.23300928,-0.20829067,-0.23354279,-0.24624763,-0.24973786,-0.2681713,-0.2870723,-0.26903826,-0.27137628,-0.2714386,-0.24667256,-0.26690325,-0.27730373,-0.2674059,-0.25626662,-0.27079913,-0.285168,-0.29270932,-0.29463986,-0.29231095,-0.30159375,20
0.112800665,0.11521926,0.107346036,0.10682561,0.10930899,0.107062995,0.11277382,0.11525474,0.11748089,0.119269,0.1178346,0.11321354,0.11629385,0.120839864,0.12572862,0.12042916,0.12019599,0.11964004,0.12049853,0.119032174,0.120546274,0.123853214,0.12539688,0.1258687,0.123969674,0.12166279,0.1205814,0.12511204,0.12630336,0.118670896,0.121689476,0.12381586,0.12569955,0.12644446,0.12130024,0.12389016,0.121954575,0.12955791,0.12433023,0.12628031,0.12744619,0.12577833,0.12701474,0.12115445,0.12853274,0.121322595,0.12940162,0.120729186,0.1286724,0.12547201,0.12452221,28
-0.09897773,-0.10163804,-0.10163804,-0.086036704,-0.08628906,-0.085968316,-0.08477933,-0.08544757,-0.08373838,-0.08759688,-0.08930163,-0.09484103,-0.09320451,-0.09728786,-0.097364284,-0.09730298,-0.10566042,-0.1008825,-0.10299741,-0.111083806,-0.110372186,-0.110921845,-0.110921845,-0.11621248,-0.11621248,-0.11621248,-0.112279095,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,-0.121973135,14
-0.12669575,-0.13284577,-0.20210618,-0.2186944,-0.2200325,-0.21299984,-0.21336578,-0.23704752,-0.2595217,-0.24818069,-0.25605473,-0.28258848,-0.2783664,-0.26039916,-0.25100896,-0.24754846,-0.2692103,-0.30161247,-0.28236488,-0.29835203,-0.29624593,-0.3165896,-0.3237652,-0.31470057,-0.33392385,-0.3246143,-0.2863672,-0.29823536,-0.30134967,-0.3289653,-0.35741615,-0.33484426,-0.32244062,-0.36652437,-0.37307775,-0.39016366,-0.3953671,-0.42224404,-0.42747533,-0.40623164,-0.41572052,-0.43597716,-0.45042956,-0.43461663,-0.44903508,-0.41649747,-0.42098302,-0.3949972,-0.40588883,-0.41062045,-0.3887217,3
-0.13170554,-0.13977204,-0.13992766,-0.1590581,-0.17791203,-0.17908339,-0.17853254,-0.17833652,-0.14277329,-0.13507693,-0.13221109,-0.14361896,-0.11422025,-0.117300995,-0.12547638,-0.12934162,-0.15326099,-0.14777905,-0.14949243,-0.14103298,-0.14880548,-0.14855117,-0.1426751,-0.15192586,-0.15835346,-0.1390532,-0.15425003,-0.16237237,-0.15616024,-0.14386974,-0.1599996,-0.16802461,-0.15936571,-0.16763882,-0.15622781,-0.16822658,-0.17175822,-0.1834118,-0.19226435,-0.17402586,-0.18867214,-0.1916727,-0.1768121,-0.18246032,-0.19034973,-0.18213277,-0.19149819,-0.19475222,-0.19655721,-0.19062957,-0.20659095,23
-0.14448847,-0.14634903,-0.14608078,-0.14633562,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,-0.16634539,141
-0.0339671,-0.048749536,-0.07008732,-0.08384372,-0.08874805,-0.08929636,-0.09246509,-0.09707996,-0.09995447,-0.10263308,-0.1111848,-0.106270045,-0.101684205,-0.10481479,-0.1042309,-0.10328163,-0.101903014,-0.098448224,-0.09103321,-0.08748504,-0.0856085,-0.08528821,-0.07874762,-0.08098852,-0.07530917,-0.07564327,-0.07303858,-0.073350385,-0.07298142,-0.07402378,-0.071229614,-0.065431215,-0.068513066,-0.063770294,-0.06592246,-0.06712881,-0.061821632,-0.06890031,-0.06544624,-0.06946657,-0.07083662,-0.06913135,-0.064699925,-0.06929264,-0.07921858,-0.07959374,-0.07884225,-0.072307386,-0.07198419,-0.06673471,-0.06499764,43
-0.002384417,-0.001839686,-0.005739705,-0.000731918,0.003428044,0.005148378,0.006053465,0.003709763,0.005932012,0.009523023,0.010236015,0.007948823,0.007424429,0.003516262,0.003774365,0.00610374,0.006482406,0.004878147,0.005662354,0.003823294,0.005079635,0.004474417,0.009783735,0.005559508,0.011552101,0.00796422,0.009872908,0.013594098,0.010999012,0.008714022,0.004482825,0.007826289,0.008435665,0.009458197,0.006983445,0.009341971,0.007281698,0.011553115,0.008526938,0.013040866,0.008112944,0.005383685,0.008952293,0.007504434,0.008736293,0.007865392,0.008241005,0.003276203,0.004831837,0.008380891,0.004920343,72
-0.12320909,-0.1458024,-0.14626604,-0.14655666,-0.14666261,-0.14678168,-0.14678767,-0.1476762,-0.1476762,-0.14763439,-0.14769535,-0.14763273,-0.14763273,-0.14763273,-0.14763273,-0.14756528,-0.14746743,-0.14746743,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,-0.14817482,27
-0.04229718,-0.023316491,-0.009406483,-0.008755075,-0.012200418,-0.016640276,-0.018286025,-0.01633885,-0.018431107,-0.01773987,-0.017261585,-0.015961664,-0.023295369,-0.024498565,-0.02399704,-0.026927646,-0.030119097,-0.031291276,-0.031858604,-0.034954775,-0.04024951,-0.04529283,-0.044982225,-0.046045188,-0.051418137,-0.057892427,-0.05650504,-0.049736157,-0.056548763,-0.05267243,-0.056498986,-0.060263492,-0.062308244,-0.062206123,-0.06274487,-0.06528743,-0.072703205,-0.07321792,-0.07185889,-0.06972184,-0.0706424,-0.07418487,-0.076675855,-0.07073638,-0.07239966,-0.0807548,-0.079599164,-0.07831862,-0.07969269,-0.07868841,-0.08109606,25
