epoch,accuracy,loss,val_accuracy,val_loss
0,0.13,2.3323094902038575,0.1,2.3329370975494386
1,0.136,2.304051574707031,0.1,2.3152943420410157
2,0.142,2.281865297317505,0.1,2.299371042251587
3,0.164,2.265124677658081,0.12,2.2847192764282225
4,0.196,2.2396130046844482,0.14,2.263338022232056
5,0.202,2.223987789154053,0.12,2.2528593826293943
6,0.208,2.2079788780212404,0.14,2.241150150299072
7,0.218,2.1899098167419435,0.16,2.2226631164550783
8,0.236,2.170612684249878,0.1,2.204970636367798
9,0.24,2.1503682975769043,0.1,2.1918713283538818
10,0.25,2.1292210025787353,0.12,2.1759886646270754
11,0.266,2.107169393539429,0.14,2.1571435928344727
12,0.274,2.082097105026245,0.18,2.137246427536011
13,0.298,2.0568658542633056,0.14,2.116558074951172
14,0.326,2.0311824226379396,0.16,2.100101137161255
15,0.318,2.0073148670196534,0.16,2.0813385963439943
16,0.338,1.9838370676040649,0.18,2.067975387573242
17,0.344,1.9601945495605468,0.18,2.048859672546387
18,0.354,1.939668016433716,0.18,2.034923543930054
19,0.368,1.9185695877075195,0.18,2.018678975105286
20,0.356,1.8999386739730835,0.18,2.0049133253097535
21,0.36,1.8825724115371705,0.2,1.9956029510498048
22,0.366,1.866719228744507,0.2,1.9809225416183471
23,0.372,1.853022699356079,0.2,1.9711296129226685
24,0.364,1.837903398513794,0.2,1.9635299491882323
25,0.38,1.8249243221282958,0.2,1.9567641448974609
26,0.364,1.8132465496063233,0.2,1.9487679243087768
27,0.374,1.8020833358764647,0.18,1.9435742378234864
28,0.374,1.791766912460327,0.2,1.937691969871521
29,0.37,1.7825589904785155,0.2,1.9333439445495606
30,0.372,1.773411231994629,0.18,1.9330293226242066
31,0.378,1.7648903818130492,0.2,1.9279592037200928
32,0.376,1.7561070861816406,0.2,1.9237490797042847
33,0.382,1.7485885467529296,0.2,1.9227084255218505
34,0.38,1.7409981164932251,0.18,1.9206061458587647
35,0.386,1.7345203456878662,0.22,1.9191260480880736
36,0.384,1.7271807689666747,0.2,1.9178476762771606
37,0.382,1.7211647186279297,0.22,1.9132237386703492
38,0.374,1.7154155492782592,0.24,1.9145175743103027
39,0.39,1.7088124828338622,0.22,1.9145732975006104
40,0.384,1.7047473773956299,0.22,1.9117646980285645
41,0.39,1.698450656890869,0.24,1.9121931409835815
42,0.386,1.6925649394989013,0.2,1.9124024772644044
43,0.402,1.6846544551849365,0.24,1.9102211141586303
44,0.392,1.6792882471084594,0.24,1.9088571310043334
45,0.392,1.674674425125122,0.24,1.9083776044845582
46,0.398,1.6691234760284424,0.22,1.9097063398361207
47,0.402,1.665526581764221,0.22,1.90996253490448
48,0.396,1.6599001626968384,0.22,1.9091542673110962
49,0.4,1.6557397022247315,0.24,1.909459538459778
50,0.404,1.6522468118667601,0.22,1.9105194807052612
51,0.41,1.6479249954223634,0.22,1.9121018266677856
52,0.41,1.64197371673584,0.24,1.9104248762130738
53,0.396,1.6382672119140624,0.24,1.9109556007385253
54,0.41,1.6336834335327148,0.22,1.9112747240066528
55,0.408,1.6302518787384033,0.24,1.9115850114822388
56,0.406,1.6263844299316406,0.26,1.9126766872406007
57,0.4,1.622069766998291,0.26,1.9090751552581786
58,0.404,1.6183671236038208,0.26,1.9105477190017701
59,0.424,1.6136575021743775,0.24,1.9139628791809082
60,0.422,1.6106125011444092,0.26,1.9090550231933594
61,0.414,1.6083158025741577,0.24,1.9088436269760132
62,0.42,1.6044259281158448,0.26,1.9125582218170165
63,0.408,1.6017745275497437,0.24,1.9116062927246094
64,0.406,1.5970146160125733,0.24,1.9154367923736573
65,0.414,1.5933498601913452,0.26,1.9127123069763183
66,0.408,1.5899873933792115,0.26,1.9125277757644654
67,0.412,1.588312071800232,0.26,1.9164616441726685
68,0.408,1.58443408203125,0.24,1.9163485670089722
69,0.408,1.5816319332122803,0.26,1.9108995866775513
70,0.414,1.5787369289398194,0.26,1.9134656524658202
71,0.412,1.5757801885604859,0.26,1.9195939588546753
72,0.42,1.5729067888259887,0.26,1.9161682939529419
73,0.414,1.5703097267150878,0.26,1.919354085922241
74,0.41,1.5668673362731933,0.26,1.9183203887939453
75,0.418,1.5639870986938476,0.26,1.915473175048828
76,0.412,1.560299849510193,0.26,1.9191967058181763
77,0.424,1.5585025596618651,0.26,1.9182545375823974
78,0.42,1.5565222454071046,0.26,1.9207955265045167
79,0.422,1.5533234643936158,0.26,1.9210621643066406
80,0.422,1.551809959411621,0.24,1.921927947998047
81,0.424,1.5493093128204345,0.24,1.9242645263671876
82,0.418,1.546606424331665,0.26,1.9224850273132323
83,0.428,1.543284818649292,0.26,1.9258810472488403
84,0.432,1.5406246852874756,0.26,1.924116039276123
85,0.436,1.5385536785125733,0.26,1.9262560272216798
86,0.432,1.5351872968673705,0.26,1.9270863246917724
87,0.434,1.5339297924041748,0.26,1.9259340620040895
88,0.422,1.5305356645584107,0.26,1.926960768699646
89,0.432,1.5295470943450928,0.26,1.929261794090271
90,0.436,1.5273365106582641,0.24,1.9309337520599366
91,0.432,1.5241495761871338,0.26,1.9282532453536987
92,0.438,1.522813636779785,0.26,1.9319605875015258
93,0.442,1.520514585494995,0.26,1.931709132194519
94,0.452,1.5182548007965089,0.26,1.9347446584701538
