epoch,accuracy,loss,val_accuracy,val_loss
0,0.066,2.53209227180481,0.1,2.5044926452636718
1,0.124,2.4319208641052246,0.08,2.428025665283203
2,0.134,2.3706884765625,0.08,2.37869948387146
3,0.152,2.3321035346984864,0.12,2.3445685386657713
4,0.164,2.30332647895813,0.14,2.3202944469451903
5,0.192,2.2802441864013674,0.2,2.296422214508057
6,0.198,2.2600009803771974,0.16,2.276304588317871
7,0.21,2.2415839557647703,0.12,2.2573030853271483
8,0.228,2.222450225830078,0.22,2.239646873474121
9,0.216,2.2028088035583497,0.22,2.2201427173614503
10,0.228,2.1812308921813965,0.22,2.2012486362457278
11,0.222,2.1595870723724366,0.22,2.182778434753418
12,0.236,2.135611478805542,0.22,2.1663777923583982
13,0.244,2.1124884185791015,0.2,2.148657550811768
14,0.242,2.0875188331604004,0.24,2.1309374237060545
15,0.242,2.0626684474945067,0.2,2.119726276397705
16,0.288,2.0393438377380373,0.24,2.103670048713684
17,0.292,2.014331033706665,0.26,2.08494779586792
18,0.284,1.9935022430419922,0.2,2.07110312461853
19,0.29,1.9707918281555177,0.26,2.057190566062927
20,0.306,1.9496101236343384,0.24,2.043988208770752
21,0.33,1.9317903442382813,0.26,2.0290150308609007
22,0.356,1.9129316234588623,0.26,2.0194813442230224
23,0.366,1.8967551136016845,0.28,2.009795317649841
24,0.36,1.8806299648284912,0.26,1.9995761251449584
25,0.362,1.8651263971328735,0.26,1.9933919382095338
26,0.374,1.852634627342224,0.28,1.985356845855713
27,0.376,1.839126371383667,0.24,1.9794322919845582
28,0.382,1.8271819295883178,0.26,1.9754984951019288
29,0.386,1.8154795379638673,0.28,1.9673527717590331
30,0.392,1.805184121131897,0.24,1.9600446891784669
31,0.39,1.7941285257339477,0.26,1.955783019065857
32,0.406,1.7859111042022706,0.28,1.955187931060791
33,0.388,1.7769547748565673,0.24,1.9507151889801024
34,0.396,1.7665404071807862,0.26,1.946318974494934
35,0.404,1.7612216501235962,0.26,1.9453085374832153
36,0.392,1.7512187633514404,0.26,1.9398388004302978
37,0.402,1.7422044696807861,0.28,1.9367949056625366
38,0.406,1.7340684146881105,0.28,1.9346687269210816
39,0.404,1.7273911743164063,0.28,1.9318816947937012
40,0.414,1.720798692703247,0.28,1.9277887105941773
41,0.402,1.7123820362091065,0.28,1.927628002166748
42,0.406,1.7056169080734254,0.28,1.9257977390289307
43,0.412,1.6985391931533813,0.28,1.92510666847229
44,0.41,1.6916131286621094,0.26,1.9241184949874879
45,0.418,1.6869004945755004,0.26,1.9232969760894776
46,0.418,1.681970763206482,0.28,1.9192031908035279
47,0.406,1.6749259033203125,0.28,1.9192269325256348
48,0.424,1.6698266506195067,0.26,1.9191497898101806
49,0.424,1.663685396194458,0.28,1.9201654195785522
50,0.424,1.6594408016204834,0.26,1.9164894866943358
51,0.422,1.652983452796936,0.28,1.9170704460144044
52,0.424,1.6484282531738281,0.28,1.9148004055023193
53,0.428,1.6430863666534423,0.28,1.9146425771713256
54,0.424,1.6386757898330688,0.28,1.9145006561279296
55,0.426,1.636414216041565,0.28,1.9132236576080321
56,0.434,1.631093032836914,0.28,1.914491105079651
57,0.43,1.6268207483291626,0.28,1.9115196037292481
58,0.428,1.6228029556274415,0.26,1.9116942644119264
59,0.432,1.6188969135284423,0.28,1.91415536403656
60,0.426,1.6146926345825194,0.28,1.917466368675232
61,0.426,1.6113439092636108,0.26,1.9122653007507324
62,0.422,1.6084634771347046,0.26,1.911077961921692
63,0.426,1.604608491897583,0.28,1.9102508687973023
64,0.424,1.6009046468734742,0.28,1.9096065664291382
65,0.428,1.5974179077148438,0.26,1.912781834602356
66,0.43,1.594510184288025,0.28,1.9137862491607667
67,0.43,1.5905316095352173,0.28,1.9111625719070435
68,0.432,1.5868443975448607,0.28,1.9106107473373413
69,0.424,1.5861069583892822,0.28,1.9084608268737793
70,0.432,1.5843334636688233,0.28,1.90862802028656
71,0.428,1.5782762832641601,0.28,1.9072145843505859
72,0.434,1.5751321973800658,0.28,1.909065113067627
73,0.428,1.5718248910903931,0.28,1.9118271732330323
74,0.436,1.569101432800293,0.28,1.9108307075500488
75,0.43,1.5669520931243897,0.28,1.9110365867614747
76,0.428,1.5656776905059815,0.28,1.9034500122070312
77,0.44,1.5615213947296143,0.3,1.9101828861236572
78,0.436,1.5572577838897705,0.28,1.910904245376587
79,0.438,1.5568101511001586,0.28,1.9084598398208619
80,0.434,1.5510492477416993,0.28,1.9046505832672118
81,0.43,1.5507135705947876,0.28,1.9034986972808838
82,0.43,1.5494836368560791,0.26,1.9078798866271973
83,0.434,1.5437476978302003,0.28,1.9055302333831787
84,0.434,1.5415555648803712,0.26,1.9074690437316895
85,0.434,1.5406723880767823,0.28,1.903461627960205
86,0.438,1.5387103939056397,0.28,1.907592544555664
87,0.436,1.5367853460311889,0.26,1.901410961151123
88,0.434,1.5332547693252563,0.26,1.9047744703292846
89,0.44,1.5300573644638062,0.26,1.9061382865905763
90,0.438,1.5275588655471801,0.3,1.903294596672058
91,0.446,1.5257471809387206,0.26,1.9059863376617432
92,0.438,1.5256666049957275,0.28,1.904907841682434
93,0.44,1.5209634437561035,0.26,1.9075615787506104
94,0.442,1.5188352165222168,0.28,1.9032069444656372
95,0.444,1.5163232221603393,0.26,1.9088079118728638
96,0.444,1.5141374092102051,0.26,1.9093382167816162
97,0.444,1.5119180755615234,0.28,1.9030259084701537
98,0.44,1.5106171464920044,0.26,1.9037307071685792
99,0.44,1.5068356533050538,0.26,1.9070299673080444
100,0.434,1.5082146158218384,0.26,1.9045448303222656
